Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.92      0.07     0.07   303600     0.00     0.00  ClickableTile::Draw(Window const&, Board const&) const
 15.38      0.11     0.04     1012     0.04     0.24  Game::Draw() const
  7.69      0.13     0.02  1031612     0.00     0.00  Board::At(int, int) const
  7.69      0.15     0.02   303600     0.00     0.00  ClickableTile::Update(unsigned int, Board&)
  7.69      0.17     0.02   109187     0.00     0.00  ScreenWriter::Write(Font*, SDL_Color, int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.85      0.18     0.01  1035955     0.00     0.00  Tile* const& std::__get_helper<0u, Tile*, std::default_delete<Tile []> >(std::_Tuple_impl<0u, Tile*, std::default_delete<Tile []> > const&)
  3.85      0.19     0.01  1035954     0.00     0.00  std::unique_ptr<Tile [], std::default_delete<Tile []> >::operator[](unsigned int) const
  3.85      0.20     0.01   611326     0.00     0.00  Rectangle::Rectangle(int, int, int, int)
  3.85      0.21     0.01   307715     0.00     0.00  Window::Draw(Texture const&, Rectangle const*, Rectangle const*) const
  3.85      0.22     0.01   303600     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator++()
  3.85      0.23     0.01   303600     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator*() const
  3.85      0.24     0.01   109187     0.00     0.00  Game::GetWindow()
  3.85      0.25     0.01   109187     0.00     0.00  Font::operator _TTF_Font*() const
  1.92      0.26     0.01   109187     0.00     0.00  ScreenWriter::Write(int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.92      0.26     0.01        1     5.00     5.00  ScreenWriter::SetCurrentFont(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned int)
  0.00      0.26     0.00  1035955     0.00     0.00  std::unique_ptr<Tile [], std::default_delete<Tile []> >::get() const
  0.00      0.26     0.00  1035955     0.00     0.00  std::_Head_base<0u, Tile*, false>::_M_head(std::_Head_base<0u, Tile*, false> const&)
  0.00      0.26     0.00  1035955     0.00     0.00  std::_Tuple_impl<0u, Tile*, std::default_delete<Tile []> >::_M_head(std::_Tuple_impl<0u, Tile*, std::default_delete<Tile []> > const&)
  0.00      0.26     0.00  1035955     0.00     0.00  std::tuple_element<0u, std::tuple<Tile*, std::default_delete<Tile []> > >::type const& std::get<0u, Tile*, std::default_delete<Tile []> >(std::tuple<Tile*, std::default_delete<Tile []> > const&)
  0.00      0.26     0.00   763336     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::base() const
  0.00      0.26     0.00   609224     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::base() const
  0.00      0.26     0.00   381668     0.00     0.00  bool __gnu_cxx::operator!=<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >(__gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&, __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&)
  0.00      0.26     0.00   380400     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator++()
  0.00      0.26     0.00   380400     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator*() const
  0.00      0.26     0.00   332405     0.00     0.00  Texture::operator SDL_Texture*() const
  0.00      0.26     0.00   304612     0.00     0.00  bool __gnu_cxx::operator!=<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >(__gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&, __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&)
  0.00      0.26     0.00   303600     0.00     0.00  Rectangle::Rectangle()
  0.00      0.26     0.00   303291     0.00     0.00  float const& std::max<float>(float const&, float const&)
