Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 14.29      0.01     0.01   481600     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::base() const
 14.29      0.02     0.01   339829     0.00     0.00  bool __gnu_cxx::operator!=<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >(__gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&, __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&)
 14.29      0.03     0.01   240000     0.00     0.00  ClickableTile::Update(unsigned int, Board&)
 14.29      0.04     0.01   240000     0.00     0.00  ClickableTile::Draw(Window const&, Board const&) const
 14.29      0.05     0.01   240000     0.00     0.00  Board::At(int, int) const
 14.29      0.06     0.01   240000     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator*() const
 14.29      0.07     0.01      800     0.01     0.06  Game::Draw() const
  0.00      0.07     0.00   679658     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::base() const
  0.00      0.07     0.00   480000     0.00     0.00  Rectangle::Rectangle(int, int, int, int)
  0.00      0.07     0.00   338700     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator++()
  0.00      0.07     0.00   338700     0.00     0.00  __gnu_cxx::__normal_iterator<ClickableTile*, std::vector<ClickableTile, std::allocator<ClickableTile> > >::operator*() const
  0.00      0.07     0.00   240800     0.00     0.00  bool __gnu_cxx::operator!=<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > >(__gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&, __gnu_cxx::__normal_iterator<ClickableTile const*, std::vector<ClickableTile, std::allocator<ClickableTile> > > const&)
  0.00      0.07     0.00   240243     0.00     0.00  std::unique_ptr<Tile [], std::default_delete<Tile []> >::get() const
  0.00      0.07     0.00   240243     0.00     0.00  std::_Head_base<0u, Tile*, false>::_M_head(std::_Head_base<0u, Tile*, false> const&)
  0.00      0.07     0.00   240243     0.00     0.00  std::_Tuple_impl<0u, Tile*, std::default_delete<Tile []> >::_M_head(std::_Tuple_impl<0u, Tile*, std::default_delete<Tile []> > const&)
  0.00      0.07     0.00   240243     0.00     0.00  Tile* const& std::__get_helper<0u, Tile*, std::default_delete<Tile []> >(std::_Tuple_impl<0u, Tile*, std::default_delete<Tile []> > const&)
